task_name|frame_range|split
fair_bike_10_6|2451-2499|train
fair_bike_10_8|877-925|train
fair_bike_10_8|1000-1048|train
fair_bike_10_8|2000-2048|train
fair_bike_10_8|2451-2499|train
fair_cooking_06_2|877-925|train
fair_cooking_06_2|1000-1048|train
fair_cooking_06_2|2000-2048|train
fair_cooking_06_2|2451-2499|train
fair_cooking_06_4|877-925|train
fair_cooking_06_4|1000-1048|train
fair_cooking_06_4|2000-2048|train
fair_cooking_06_4|2451-2499|val
fair_cooking_06_6|877-925|train
fair_cooking_06_6|1000-1048|train
fair_cooking_06_6|2000-2048|train
fair_cooking_06_6|2451-2499|train
fair_cooking_07_2|877-925|train
fair_cooking_07_2|1000-1048|train
fair_cooking_07_2|2000-2048|train
fair_cooking_07_2|2451-2499|train
fair_cooking_07_4|877-925|train
fair_cooking_07_4|1000-1048|train
fair_cooking_07_4|2000-2048|train
fair_cooking_07_4|2451-2499|train
georgiatech_bike_01_10|877-925|train
georgiatech_bike_01_10|1000-1048|train
georgiatech_bike_01_10|2000-2048|train
georgiatech_bike_01_10|2451-2499|train
georgiatech_bike_01_11|877-925|train
georgiatech_bike_01_11|1000-1048|train
georgiatech_bike_01_11|2000-2048|train
georgiatech_bike_01_11|2451-2499|train
georgiatech_bike_01_2|877-925|train
georgiatech_bike_01_2|1000-1048|train
georgiatech_bike_01_4|877-925|val
georgiatech_bike_01_4|1000-1048|train
georgiatech_bike_01_4|2000-2048|train
georgiatech_bike_01_4|2451-2499|train
georgiatech_bike_01_6|877-925|train
georgiatech_bike_01_6|1000-1048|train
georgiatech_bike_01_6|2000-2048|train
georgiatech_bike_01_6|2451-2499|train
georgiatech_bike_01_8|877-925|train
georgiatech_bike_01_8|1000-1048|train
georgiatech_bike_01_8|2000-2048|train
georgiatech_bike_01_8|2451-2499|train
georgiatech_bike_04_10|877-925|train
georgiatech_bike_04_10|1000-1048|train
georgiatech_bike_04_10|2000-2048|train
georgiatech_bike_04_10|2451-2499|train
georgiatech_bike_04_12|877-925|train
georgiatech_bike_04_12|1000-1048|train
georgiatech_bike_04_12|2000-2048|train
georgiatech_bike_04_12|2451-2499|train
georgiatech_bike_04_2|877-925|train
georgiatech_bike_04_2|1000-1048|train
georgiatech_bike_04_4|877-925|val
georgiatech_bike_04_4|1000-1048|train
georgiatech_bike_04_4|2000-2048|train
georgiatech_bike_04_4|2451-2499|train
georgiatech_bike_04_6|877-925|train
georgiatech_bike_04_6|1000-1048|train
georgiatech_bike_04_6|2000-2048|train
georgiatech_bike_04_6|2451-2499|train
georgiatech_bike_04_8|877-925|train
georgiatech_bike_04_8|1000-1048|train
georgiatech_bike_05_13|877-925|train
georgiatech_bike_05_13|1000-1048|train
georgiatech_bike_05_13|2000-2048|train
georgiatech_bike_05_13|2451-2499|train
georgiatech_bike_05_2|877-925|train
georgiatech_bike_05_4|877-925|train
georgiatech_bike_05_4|1000-1048|train
georgiatech_bike_05_4|2000-2048|val
georgiatech_bike_05_4|2451-2499|train
georgiatech_bike_05_6|877-925|train
georgiatech_bike_05_6|1000-1048|val
georgiatech_bike_05_7|877-925|train
georgiatech_bike_05_7|1000-1048|train
georgiatech_bike_05_7|2000-2048|train
georgiatech_bike_05_7|2451-2499|train
georgiatech_bike_05_9|877-925|train
georgiatech_bike_05_9|1000-1048|train
georgiatech_bike_05_9|2000-2048|train
georgiatech_bike_05_9|2451-2499|train
georgiatech_bike_08_10|877-925|train
georgiatech_bike_08_10|1000-1048|train
georgiatech_bike_08_10|2000-2048|train
georgiatech_bike_08_10|2451-2499|train
georgiatech_bike_08_12|877-925|train
georgiatech_bike_08_12|1000-1048|train
georgiatech_bike_08_12|2000-2048|train
georgiatech_bike_08_12|2451-2499|train
georgiatech_bike_08_14|877-925|train
georgiatech_bike_08_14|1000-1048|train
georgiatech_bike_08_14|2000-2048|train
georgiatech_bike_08_14|2451-2499|train
georgiatech_bike_08_4|877-925|train
georgiatech_bike_08_4|1000-1048|val
georgiatech_bike_08_4|2000-2048|train
georgiatech_bike_08_4|2451-2499|train
georgiatech_bike_08_6|877-925|train
georgiatech_bike_08_6|1000-1048|train
georgiatech_cooking_01_03_2|877-925|val
georgiatech_cooking_01_03_2|1000-1048|train
georgiatech_cooking_01_03_2|2000-2048|train
georgiatech_cooking_01_03_2|2451-2499|train
georgiatech_cooking_01_03_4|877-925|train
georgiatech_cooking_01_03_4|1000-1048|train
georgiatech_cooking_01_03_4|2000-2048|train
georgiatech_cooking_01_03_4|2451-2499|train
georgiatech_cooking_10_01_2|877-925|train
georgiatech_cooking_10_01_2|1000-1048|train
georgiatech_cooking_10_01_2|2000-2048|train
georgiatech_cooking_10_01_2|2451-2499|train
georgiatech_cooking_10_01_6|877-925|train
georgiatech_cooking_10_01_6|1000-1048|train
georgiatech_cooking_10_01_6|2000-2048|train
georgiatech_cooking_10_01_6|2451-2499|train
georgiatech_cooking_14_01_2|877-925|train
georgiatech_cooking_14_01_2|1000-1048|train
georgiatech_cooking_14_01_2|2000-2048|train
georgiatech_cooking_14_01_2|2451-2499|train
georgiatech_cooking_14_01_6|877-925|train
georgiatech_cooking_14_01_6|1000-1048|train
georgiatech_cooking_14_01_6|2000-2048|train
georgiatech_cooking_14_01_6|2451-2499|train
georgiatech_covid_03_10|877-925|val
georgiatech_covid_03_10|1000-1048|train
georgiatech_covid_03_10|2000-2048|train
georgiatech_covid_03_10|2451-2499|train
georgiatech_covid_03_12|877-925|train
georgiatech_covid_03_12|1000-1048|train
georgiatech_covid_03_12|2000-2048|train
georgiatech_covid_03_12|2451-2499|train
georgiatech_covid_03_14|877-925|val
georgiatech_covid_03_14|1000-1048|train
georgiatech_covid_03_14|2000-2048|train
georgiatech_covid_03_14|2451-2499|train
georgiatech_covid_03_2|877-925|val
georgiatech_covid_03_2|1000-1048|train
georgiatech_covid_03_2|2000-2048|train
georgiatech_covid_03_2|2451-2499|train
georgiatech_covid_03_4|877-925|train
georgiatech_covid_03_4|1000-1048|train
georgiatech_covid_03_4|2000-2048|train
georgiatech_covid_03_4|2451-2499|train
georgiatech_covid_03_6|877-925|train
georgiatech_covid_03_6|1000-1048|train
georgiatech_covid_03_6|2000-2048|train
georgiatech_covid_03_6|2451-2499|train
georgiatech_covid_03_8|877-925|train
georgiatech_covid_03_8|1000-1048|train
georgiatech_covid_03_8|2000-2048|train
georgiatech_covid_03_8|2451-2499|train
georgiatech_covid_05_10|877-925|train
georgiatech_covid_05_10|1000-1048|train
georgiatech_covid_05_10|2000-2048|train
georgiatech_covid_05_10|2451-2499|train
georgiatech_covid_05_12|877-925|train
georgiatech_covid_05_12|1000-1048|train
georgiatech_covid_05_12|2000-2048|train
georgiatech_covid_05_12|2451-2499|train
georgiatech_covid_05_2|877-925|train
georgiatech_covid_05_2|1000-1048|train
georgiatech_covid_05_2|2000-2048|train
georgiatech_covid_05_2|2451-2499|train
georgiatech_covid_05_4|877-925|train
georgiatech_covid_05_4|1000-1048|train
georgiatech_covid_05_4|2000-2048|train
georgiatech_covid_05_4|2451-2499|train
georgiatech_covid_05_6|877-925|train
georgiatech_covid_05_6|1000-1048|train
georgiatech_covid_05_6|2000-2048|train
georgiatech_covid_05_6|2451-2499|train
georgiatech_covid_05_8|877-925|train
georgiatech_covid_05_8|1000-1048|val
georgiatech_covid_05_8|2000-2048|val
georgiatech_covid_05_8|2451-2499|train
georgiatech_covid_09_10|877-925|train
georgiatech_covid_09_10|1000-1048|train
georgiatech_covid_09_10|2000-2048|train
georgiatech_covid_09_10|2451-2499|val
georgiatech_covid_09_12|877-925|train
georgiatech_covid_09_12|1000-1048|train
georgiatech_covid_09_12|2000-2048|train
georgiatech_covid_09_12|2451-2499|train
georgiatech_covid_09_2|877-925|train
georgiatech_covid_09_2|1000-1048|train
georgiatech_covid_09_2|2000-2048|train
georgiatech_covid_09_2|2451-2499|train
georgiatech_covid_09_4|877-925|train
georgiatech_covid_09_4|1000-1048|train
georgiatech_covid_09_4|2000-2048|train
georgiatech_covid_09_4|2451-2499|train
georgiatech_covid_09_6|877-925|train
georgiatech_covid_09_6|1000-1048|train
georgiatech_covid_09_6|2000-2048|train
georgiatech_covid_09_6|2451-2499|train
georgiatech_covid_09_8|877-925|train
georgiatech_covid_09_8|1000-1048|train
georgiatech_covid_09_8|2000-2048|train
georgiatech_covid_09_8|2451-2499|val
georgiatech_covid_12_11|877-925|train
georgiatech_covid_12_11|1000-1048|train
georgiatech_covid_12_11|2000-2048|train
georgiatech_covid_12_11|2451-2499|train
georgiatech_covid_12_13|877-925|train
georgiatech_covid_12_13|1000-1048|train
georgiatech_covid_12_13|2000-2048|train
georgiatech_covid_12_13|2451-2499|train
georgiatech_covid_12_3|877-925|train
georgiatech_covid_12_3|1000-1048|train
georgiatech_covid_12_3|2000-2048|train
georgiatech_covid_12_3|2451-2499|train
georgiatech_covid_12_5|877-925|train
georgiatech_covid_12_5|1000-1048|val
georgiatech_covid_12_5|2000-2048|train
georgiatech_covid_12_5|2451-2499|train
georgiatech_covid_12_7|877-925|train
georgiatech_covid_12_7|1000-1048|train
georgiatech_covid_12_7|2000-2048|train
georgiatech_covid_12_7|2451-2499|train
georgiatech_covid_12_9|877-925|train
georgiatech_covid_12_9|1000-1048|train
georgiatech_covid_12_9|2000-2048|train
georgiatech_covid_12_9|2451-2499|train
georgiatech_covid_13_10|877-925|train
georgiatech_covid_13_10|1000-1048|train
georgiatech_covid_13_10|2000-2048|train
georgiatech_covid_13_10|2451-2499|train
georgiatech_covid_13_2|877-925|train
georgiatech_covid_13_2|1000-1048|train
georgiatech_covid_13_2|2000-2048|train
georgiatech_covid_13_2|2451-2499|train
georgiatech_covid_13_4|877-925|train
georgiatech_covid_13_4|1000-1048|train
georgiatech_covid_13_4|2000-2048|train
georgiatech_covid_13_4|2451-2499|train
georgiatech_covid_13_6|877-925|train
georgiatech_covid_13_6|1000-1048|train
georgiatech_covid_13_6|2000-2048|train
georgiatech_covid_13_6|2451-2499|train
georgiatech_covid_13_8|877-925|train
georgiatech_covid_13_8|1000-1048|val
georgiatech_covid_13_8|2000-2048|train
georgiatech_covid_13_8|2451-2499|train
georgiatech_covid_16_10|877-925|train
georgiatech_covid_16_10|1000-1048|train
georgiatech_covid_16_10|2000-2048|train
georgiatech_covid_16_10|2451-2499|train
georgiatech_covid_16_12|877-925|train
georgiatech_covid_16_12|1000-1048|train
georgiatech_covid_16_12|2000-2048|train
georgiatech_covid_16_12|2451-2499|train
georgiatech_covid_16_2|877-925|train
georgiatech_covid_16_2|1000-1048|train
georgiatech_covid_16_2|2000-2048|train
georgiatech_covid_16_2|2451-2499|train
georgiatech_covid_16_4|877-925|train
georgiatech_covid_16_4|1000-1048|train
georgiatech_covid_16_4|2000-2048|train
georgiatech_covid_16_4|2451-2499|val
georgiatech_covid_16_6|877-925|train
georgiatech_covid_16_6|1000-1048|train
georgiatech_covid_16_6|2000-2048|train
georgiatech_covid_16_6|2451-2499|train
georgiatech_covid_16_8|877-925|train
georgiatech_covid_16_8|1000-1048|train
georgiatech_covid_16_8|2000-2048|train
georgiatech_covid_16_8|2451-2499|train
iiith_cooking_01_1|877-925|train
iiith_cooking_01_1|1000-1048|train
iiith_cooking_01_1|2000-2048|train
iiith_cooking_01_1|2451-2499|train
iiith_cooking_02_1|877-925|train
iiith_cooking_02_1|1000-1048|train
iiith_cooking_02_1|2000-2048|train
iiith_cooking_02_1|2451-2499|train
iiith_cooking_02_3|877-925|train
iiith_cooking_02_3|1000-1048|train
iiith_cooking_02_3|2000-2048|train
iiith_cooking_02_3|2451-2499|train
iiith_cooking_03_1|877-925|train
iiith_cooking_03_1|1000-1048|train
iiith_cooking_03_1|2000-2048|train
iiith_cooking_03_1|2451-2499|train
iiith_cooking_03_3|877-925|train
iiith_cooking_03_3|1000-1048|train
iiith_cooking_03_3|2000-2048|train
iiith_cooking_03_3|2451-2499|train
iiith_cooking_04_1|877-925|train
iiith_cooking_04_1|1000-1048|train
iiith_cooking_04_1|2000-2048|train
iiith_cooking_04_1|2451-2499|train
iiith_cooking_05_1|877-925|train
iiith_cooking_05_1|1000-1048|train
iiith_cooking_05_1|2000-2048|train
iiith_cooking_05_1|2451-2499|train
iiith_cooking_05_3|877-925|train
iiith_cooking_05_3|1000-1048|train
iiith_cooking_05_3|2000-2048|val
iiith_cooking_05_3|2451-2499|train
iiith_cooking_05_5|877-925|train
iiith_cooking_05_5|1000-1048|train
iiith_cooking_05_5|2000-2048|train
iiith_cooking_05_5|2451-2499|train
iiith_cooking_06_1|877-925|train
iiith_cooking_06_1|1000-1048|train
iiith_cooking_06_1|2000-2048|train
iiith_cooking_06_1|2451-2499|val
iiith_cooking_07_1|877-925|train
iiith_cooking_07_1|1000-1048|train
iiith_cooking_07_1|2000-2048|train
iiith_cooking_07_1|2451-2499|val
iiith_cooking_08_1|877-925|train
iiith_cooking_08_1|1000-1048|val
iiith_cooking_08_1|2000-2048|train
iiith_cooking_08_1|2451-2499|train
iiith_cooking_100_2|877-925|train
iiith_cooking_100_2|1000-1048|train
iiith_cooking_100_2|2000-2048|train
iiith_cooking_100_2|2451-2499|train
iiith_cooking_100_4|877-925|train
iiith_cooking_100_4|1000-1048|train
iiith_cooking_100_4|2000-2048|train
iiith_cooking_108_2|877-925|val
iiith_cooking_108_2|1000-1048|train
iiith_cooking_108_2|2000-2048|train
iiith_cooking_108_2|2451-2499|val
iiith_cooking_108_4|877-925|train
iiith_cooking_108_4|1000-1048|train
iiith_cooking_108_5|877-925|train
iiith_cooking_108_5|1000-1048|train
iiith_cooking_109_2|877-925|train
iiith_cooking_109_2|1000-1048|train
iiith_cooking_109_2|2000-2048|val
iiith_cooking_109_2|2451-2499|train
iiith_cooking_109_4|877-925|train
iiith_cooking_109_4|1000-1048|train
iiith_cooking_109_5|877-925|train
iiith_cooking_109_5|1000-1048|train
iiith_cooking_10_1|877-925|train
iiith_cooking_10_1|1000-1048|train
iiith_cooking_10_1|2000-2048|train
iiith_cooking_10_1|2451-2499|train
iiith_cooking_110_2|877-925|train
iiith_cooking_110_2|1000-1048|train
iiith_cooking_110_2|2000-2048|train
iiith_cooking_110_2|2451-2499|train
iiith_cooking_110_4|877-925|train
iiith_cooking_110_4|1000-1048|train
iiith_cooking_110_4|2000-2048|train
iiith_cooking_111_2|877-925|val
iiith_cooking_111_2|1000-1048|train
iiith_cooking_111_2|2000-2048|train
iiith_cooking_111_2|2451-2499|train
iiith_cooking_111_4|877-925|train
iiith_cooking_111_4|1000-1048|val
iiith_cooking_111_5|877-925|train
iiith_cooking_111_5|1000-1048|train
iiith_cooking_112_2|877-925|train
iiith_cooking_112_2|1000-1048|train
iiith_cooking_112_2|2000-2048|train
iiith_cooking_112_2|2451-2499|train
iiith_cooking_112_3|877-925|val
iiith_cooking_112_3|1000-1048|train
iiith_cooking_112_4|877-925|train
iiith_cooking_112_4|1000-1048|train
iiith_cooking_112_4|2000-2048|train
iiith_cooking_115_2|877-925|train
iiith_cooking_115_2|1000-1048|train
iiith_cooking_115_2|2000-2048|train
iiith_cooking_115_2|2451-2499|train
iiith_cooking_115_3|877-925|train
iiith_cooking_115_3|1000-1048|train
iiith_cooking_115_3|2000-2048|val
iiith_cooking_115_3|2451-2499|val
iiith_cooking_115_5|877-925|train
iiith_cooking_115_5|1000-1048|train
iiith_cooking_115_5|2000-2048|train
iiith_cooking_115_5|2451-2499|train
iiith_cooking_116_2|877-925|train
iiith_cooking_116_2|1000-1048|train
iiith_cooking_116_2|2000-2048|train
iiith_cooking_116_2|2451-2499|train
iiith_cooking_116_4|877-925|train
iiith_cooking_116_4|1000-1048|train
iiith_cooking_116_4|2000-2048|train
iiith_cooking_116_4|2451-2499|train
iiith_cooking_116_5|877-925|train
iiith_cooking_116_5|1000-1048|train
iiith_cooking_116_5|2000-2048|train
iiith_cooking_116_5|2451-2499|train
iiith_cooking_117_2|877-925|train
iiith_cooking_117_2|1000-1048|train
iiith_cooking_117_2|2000-2048|train
iiith_cooking_117_2|2451-2499|train
iiith_cooking_117_4|877-925|train
iiith_cooking_117_4|1000-1048|train
iiith_cooking_117_4|2000-2048|train
iiith_cooking_117_4|2451-2499|train
iiith_cooking_118_2|877-925|train
iiith_cooking_118_2|1000-1048|train
iiith_cooking_118_2|2000-2048|train
iiith_cooking_118_2|2451-2499|train
iiith_cooking_11_1|877-925|train
iiith_cooking_11_1|1000-1048|train
iiith_cooking_11_1|2000-2048|train
iiith_cooking_11_1|2451-2499|train
iiith_cooking_122_2|877-925|train
iiith_cooking_122_2|1000-1048|train
iiith_cooking_122_2|2000-2048|val
iiith_cooking_122_2|2451-2499|train
iiith_cooking_122_4|877-925|train
iiith_cooking_122_4|1000-1048|train
iiith_cooking_122_4|2000-2048|train
iiith_cooking_122_4|2451-2499|train
iiith_cooking_123_2|877-925|train
iiith_cooking_123_2|1000-1048|train
iiith_cooking_123_2|2000-2048|train
iiith_cooking_123_2|2451-2499|train
iiith_cooking_123_4|877-925|val
iiith_cooking_123_4|1000-1048|train
iiith_cooking_123_4|2000-2048|train
iiith_cooking_123_4|2451-2499|train
iiith_cooking_123_6|877-925|train
iiith_cooking_123_6|1000-1048|train
iiith_cooking_123_6|2000-2048|train
iiith_cooking_123_6|2451-2499|train
iiith_cooking_124_2|877-925|train
iiith_cooking_124_2|1000-1048|train
